GeoName,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2010,12586509000,162531112,35451983,216873648,94576076,1614040770,205866132,221058479,36837784,732457478,338275543,56751099,50432553,543084289,231707192,116906023,114239828,145301180,173800833,50603646,287652437,347492138,353316281,226957064,92933243,222563967,36060380,75489582,101307041,62032251,449927051,69607245,947076555,343348333,29880787,425361803,140140348,138291590,537282210,45116212,152230540,33804000,227882962,985165114,89439153,26140047,365245480,285579891,60753800,222982662,26328777
2011,13330436000,168474324,37981757,227700087,100739246,1715226969,223492650,226907103,39925002,771409454,361250577,59288116,53273739,569775540,246494012,125978180,123558772,152218739,179073440,52789038,303517765,363396351,373861260,242593231,96917993,231646331,38487933,84211642,105105361,64945252,470008136,72967704,997755770,355826622,33666049,453595432,150709925,145596106,564695398,46793695,160767373,36842808,241617612,1077403282,96356694,27690554,385984453,302075863,64227278,235433754,28786638
2012,14003346000,173361655,39265976,237809058,107877287,1827166863,236759086,231171081,40393268,800551723,371456775,61557042,56177068,595073548,258136431,132158943,130948127,157635717,188760806,53782491,312175752,379267836,389544137,257164228,100377212,242981353,40919721,86754229,109347399,67855254,487527661,74725350,1049158190,380160568,39796219,471703866,161128385,153547958,587665984,48501742,169185165,37844222,254470632,1152725226,102990773,28554400,404179743,326698847,65898534,246242279,31199618
2013,14189228000,175185262,38978032,243752324,108367763,1857200859,249512681,226175849,41100328,802975701,377202210,62521242,58403714,609778574,261702287,134757839,133979908,159224753,191497268,53742001,311524042,382611077,393576751,259781775,102317393,245199961,41322467,87398705,109870516,67703675,492488242,73561774,1062135398,376392383,39933546,479088726,169382612,156130012,593682098,48544705,171617231,38365923,256753847,1184840515,106176204,28964344,401684271,333763661,65572756,247847355,31240113
2014,14969527000,181078773,41209955,257272272,114743300,1980736837,271410156,236756584,43031603,861412339,402790922,66036681,61801361,638639973,272244928,139531286,136878718,166717085,200293914,55863585,322438196,401832495,411019819,273487954,104255478,254317468,43555779,92524041,117372236,70501217,515515069,77975093,1105907821,398099522,42819622,498894557,180468965,167077325,619079371,50646175,182832639,40252253,267288734,1274636863,112620169,30195918,419329599,359690641,67764369,258347784,33549324
2015,15681233000,189115437,42555117,270815540,118719486,2125430316,284836823,243164608,45216125,919834894,427437432,69109054,65475653,666943662,282821367,144587626,138336768,174331189,201363461,58331304,337702762,428228930,433688597,286422936,106063990,263271401,45453524,96282140,127116993,73474566,537105894,79864310,1154722863,419334270,41178930,518826754,175133987,179600218,643988051,52447570,194364093,41912669,281281093,1300510099,121339160,31078990,438272757,381158080,69178579,269703881,33761753
2016,16092713000,192363456,41837407,282085147,121825917,2218457774,289672968,247777383,46444792,954069719,444023658,71571666,68009336,673690951,290604355,145790014,138533890,177190630,200190623,59959246,350384383,444184133,446030231,292234917,107499466,270603534,46074125,94838024,132058361,76092328,552051391,81414081,1194534615,432626193,39765824,529069639,166547739,188283318,661160078,53229695,202215375,42336778,290239862,1296480756,127881434,31575635,449830106,401774275,68630112,274374657,31908537
2017,16845028000,199336413,42497120,297904910,125779938,2318644417,309657658,253120724,48570693,1023131116,469238343,74456706,72066433,693330956,301643842,149547584,142729689,182475996,206203183,62428715,361776730,463599930,458756727,304470047,110107234,277413945,48774522,97112011,140516706,79390605,572482431,82859946,1272902952,453097701,40215805,548272730,174240274,198995690,679620194,55300956,212626347,43813041,303062683,1387824297,135658763,32406144,467437651,426283489,71397573,284474755,32918472
2018,17681159000,207053583,44102675,315732186,130865194,2431821953,331955386,264263091,51310453,1087188628,493174866,76183950,76680638,728366162,316782272,156072161,148955739,188362010,215111592,65121654,372196856,486203915,476476831,319619110,112818083,289453952,50989452,101204153,149789211,83161074,597005046,86531927,1316439885,475483336,42821862,569766136,182574301,211414601,716336524,57371833,222564692,46031995,319949282,1483121609,146326354,33437205,484936827,454257001,74777877,297730128,34690854
2019,18402004000,215930375,45293853,334023910,135302690,2544234978,350390096,270282785,52537576,1139799293,518277973,78516120,81834124,748811625,329681959,159664542,154961001,196250549,222059671,67855460,381396696,506614169,492022215,329523912,116335836,300545976,53612563,104430185,158923867,86797535,619065784,90539175,1361472689,500496856,44420233,587177304,191366815,221186350,737160920,59908897,234443672,48547806,334750234,1544020717,157335049,34569620,502600783,479840878,76299460,308224378,35424500
